word,sentiment,std
fundamental,0.14,0.14
hot,0.14,0.24
successive,0.14,0.12
municipal,0.15,0.09
democratic,0.15,0.08
constant,0.15,0.12
projecting,0.15,0.1
legislative,0.15,0.12
mystic,0.15,0.13
public,0.15,0.12
watery,0.15,0.17
daring,0.15,0.14
neutral,0.16,0.1
unbounded,0.16,0.11
immediate,0.16,0.11
orthodox,0.16,0.18
harder,0.16,0.24
local,0.16,0.1
presbyterian,0.16,0.13
intrinsic,0.16,0.17
unanimous,0.16,0.13
sole,0.16,0.19
unmistakable,0.16,0.1
oldest,0.16,0.21
reverend,0.17,0.14
industrial,0.17,0.09
fit,0.17,0.23
intervening,0.17,0.16
applicable,0.17,0.19
greek,0.17,0.09
creative,0.17,0.12
western,0.18,0.14
undoubted,0.18,0.09
boundless,0.18,0.11
additional,0.18,0.17
palpable,0.18,0.16
busy,0.18,0.13
manifest,0.18,0.17
earthly,0.18,0.16
average,0.18,0.23
stray,0.18,0.15
rational,0.18,0.11
stronger,0.18,0.25
willing,0.18,0.63
thankful,0.18,0.67
slight,0.19,0.15
ruddy,0.19,0.3
financial,0.19,0.09
educational,0.19,0.09
foregoing,0.19,0.14
congregational,0.19,0.09
capable,0.19,0.11
farthest,0.19,0.08
coarse,0.19,0.19
dry,0.19,0.2
naval,0.2,0.09
utter,0.2,0.76
languid,0.2,0.53
economical,0.2,0.13
popular,0.2,0.09
methodist,0.2,0.12
ancient,0.2,0.12
darker,0.21,0.15
marvellous,0.21,0.26
sacred,0.21,0.08
ready,0.21,0.24
dreamy,0.21,0.23
specific,0.21,0.15
independent,0.21,0.16
dazzling,0.21,0.13
muscular,0.22,0.08
deceased,0.22,0.28
religious,0.22,0.08
upper,0.22,0.08
mathematical,0.22,0.13
rapid,0.23,0.13
eldest,0.23,0.3
succeeding,0.23,0.2
perceptible,0.23,0.12
various,0.23,0.09
sled,0.23,0.2
direct,0.23,0.12
dear,0.23,0.67
national,0.23,0.11
latest,0.24,0.14
nearest,0.24,0.13
older,0.24,0.27
social,0.24,0.09
permanent,0.24,0.09
passive,0.24,0.12
countless,0.24,0.11
hebrew,0.24,0.13
visible,0.24,0.12
perpetual,0.24,0.19
obvious,0.25,0.15
satisfactory,0.25,0.16
expensive,0.25,0.12
richer,0.25,0.22
unwonted,0.25,0.14
towering,0.25,0.12
loyal,0.25,0.13
plausible,0.25,0.13
classical,0.25,0.08
american,0.25,0.1
mechanical,0.25,0.07
separate,0.25,0.17
modern,0.25,0.07
increasing,0.25,0.15
keen,0.26,0.05
uniform,0.26,0.25
ascending,0.26,0.11
surplus,0.26,0.11
internal,0.26,0.14
scientific,0.26,0.15
unusual,0.26,0.21
decent,0.26,0.12
final,0.27,0.19
distinct,0.27,0.09
critical,0.27,0.14
republican,0.27,0.11
episcopal,0.27,0.12
married,0.27,0.8
primitive,0.27,0.11
extra,0.27,0.18
tropical,0.27,0.1
natural,0.28,0.15
mental,0.28,0.13
daily,0.28,0.09
transparent,0.28,0.21
central,0.28,0.13
equatorial,0.28,0.15
auburn,0.28,0.22
exclusive,0.28,0.18
whig,0.28,0.1
narrow,0.29,0.14
gigantic,0.29,0.17
recent,0.29,0.21
veteran,0.29,0.19
tangled,0.29,0.19
thick,0.29,0.14
humble,0.29,0.23
patient,0.29,0.14
smaller,0.29,0.14
effectual,0.29,0.17
diplomatic,0.29,0.07
lucky,0.29,0.73
enduring,0.3,0.1
circular,0.3,0.08
logical,0.3,0.18
certain,0.3,0.14
deepest,0.3,0.12
inland,0.3,0.16
voluntary,0.3,0.08
free,0.3,0.16
mercantile,0.3,0.11
unbroken,0.31,0.12
accidental,0.31,0.69
mighty,0.31,0.17
high,0.31,0.07
single,0.31,0.12
astonishing,0.31,0.64
stubborn,0.31,0.56
brief,0.31,0.14
spiritual,0.32,0.13
heavier,0.32,0.19
efficient,0.32,0.13
homely,0.32,0.13
sublime,0.32,0.19
obedient,0.32,0.07
penetrating,0.32,0.09
bold,0.32,0.14
impossible,0.32,0.58
long,0.32,0.13
populous,0.33,0.09
poetical,0.33,0.15
invariable,0.33,0.16
better,0.33,0.27
corresponding,0.34,0.14
subdued,0.34,0.2
absorbing,0.34,0.22
personal,0.34,0.11
effective,0.34,0.18
healthy,0.34,0.11
infinite,0.34,0.24
adequate,0.35,0.16
winding,0.35,0.2
proffered,0.35,0.13
wooded,0.35,0.17
sympathetic,0.35,0.19
practical,0.35,0.12
enormous,0.35,0.22
distinctive,0.35,0.16
est,0.35,0.11
highest,0.36,0.13
other,0.36,0.1
military,0.36,0.07
egyptian,0.36,0.1
professional,0.36,0.12
geological,0.36,0.16
new,0.36,0.1
regal,0.36,0.08
moist,0.36,0.26
metaphysical,0.36,0.1
future,0.37,0.15
colder,0.37,0.18
grecian,0.37,0.07
exalted,0.37,0.13
kindred,0.37,0.09
conclusive,0.37,0.17
everlasting,0.37,0.13
essential,0.37,0.17
precise,0.37,0.14
special,0.37,0.13
paler,0.37,0.22
commercial,0.37,0.08
prodigious,0.38,0.19
influential,0.38,0.13
gratifying,0.38,0.56
fearless,0.38,0.16
necessary,0.38,0.19
easier,0.38,0.26
different,0.38,0.13
literary,0.38,0.08
manual,0.38,0.08
progressive,0.38,0.07
delighted,0.39,0.58
important,0.39,0.21
snowy,0.39,0.19
classic,0.39,0.13
wiser,0.39,0.25
previous,0.39,0.23
smallest,0.39,0.09
expressive,0.39,0.15
fashionable,0.39,0.11
actual,0.39,0.25
promising,0.39,0.16
superior,0.4,0.17
dense,0.4,0.07
massive,0.4,0.09
elaborate,0.4,0.21
impassioned,0.4,0.09
big,0.4,0.16
neighboring,0.4,0.15
chief,0.4,0.11
arched,0.41,0.15
intellectual,0.41,0.08
wildest,0.41,0.52
artificial,0.41,0.57
wiry,0.41,0.09
elevated,0.41,0.11
official,0.41,0.12
philosophical,0.41,0.12
shorter,0.41,0.17
indispensable,0.41,0.15
christian,0.41,0.11
weekly,0.41,0.08
present,0.42,0.22
prompt,0.42,0.08
surrounding,0.42,0.11
adventurous,0.42,0.13
higher,0.42,0.13
remaining,0.42,0.12
venerable,0.42,0.17
happiest,0.42,0.74
simplest,0.43,0.08
deep,0.43,0.16
preceding,0.43,0.26
literal,0.43,0.16
earliest,0.43,0.16
cheaper,0.43,0.15
watchful,0.43,0.09
agricultural,0.43,0.1
famous,0.44,0.13
zealous,0.44,0.07
earlier,0.44,0.13
similar,0.44,0.17
almighty,0.44,0.14
scriptural,0.44,0.07
ordinary,0.44,0.14
attentive,0.45,0.1
moderate,0.45,0.17
responsible,0.45,0.1
real,0.45,0.23
merciful,0.45,0.16
ardent,0.46,0.09
favorite,0.46,0.08
imaginative,0.46,0.12
glittering,0.46,0.13
substantial,0.46,0.07
enterprising,0.46,0.13
clean,0.46,0.15
trivial,0.46,0.53
historic,0.46,0.13
mutual,0.47,0.09
black,0.47,0.16
staid,0.47,0.07
strongest,0.47,0.1
peculiar,0.47,0.18
masterly,0.47,0.18
wonted,0.47,0.13
blissful,0.47,0.78
deeper,0.47,0.2
polished,0.47,0.13
acceptable,0.47,0.31
crowning,0.48,0.56
crimson,0.48,0.19
systematic,0.48,0.21
particular,0.48,0.14
fervent,0.48,0.06
smooth,0.48,0.14
private,0.48,0.07
contemporary,0.48,0.12
softer,0.48,0.19
abundant,0.49,0.09
immortal,0.49,0.16
detailed,0.49,0.14
fitting,0.49,0.09
wider,0.49,0.2
lighter,0.49,0.21
distinguishing,0.49,0.18
young,0.49,0.83
larger,0.49,0.13
timely,0.49,0.16
numerous,0.49,0.12
consistent,0.49,0.11
historical,0.49,0.19
glistening,0.5,0.2
probable,0.5,0.61
available,0.5,0.15
scrupulous,0.5,0.12
deliberate,0.5,0.08
luxurious,0.5,0.1
doubtful,0.5,0.67
sufficient,0.51,0.17
martial,0.51,0.12
difficult,0.52,0.56
devoted,0.52,0.08
extraordinary,0.52,0.2
accurate,0.52,0.17
genuine,0.52,0.08
uncommon,0.52,0.23
active,0.52,0.07
diligent,0.52,0.14
domestic,0.52,0.11
smart,0.52,0.15
principal,0.52,0.13
total,0.53,0.31
resolute,0.53,0.12
conscientious,0.53,0.12
reliable,0.53,0.11
utmost,0.53,0.29
silken,0.53,0.21
greater,0.53,0.3
earnest,0.54,0.07
due,0.54,0.15
considerable,0.54,0.24
starry,0.54,0.23
princely,0.54,0.11
great,0.54,0.24
gothic,0.54,0.08
discriminating,0.54,0.08
olive,0.54,0.16
prime,0.54,0.18
divine,0.55,0.15
confidential,0.55,0.12
precious,0.55,0.11
irregular,0.55,0.17
warmer,0.55,0.19
wealthy,0.55,0.14
mellow,0.55,0.12
indebted,0.56,0.52
comprehensive,0.56,0.1
antique,0.56,0.09
sanguine,0.56,0.14
common,0.57,0.14
main,0.57,0.11
brighter,0.57,0.26
ethereal,0.57,0.17
practicable,0.57,0.2
absolute,0.57,0.77
adjacent,0.58,0.14
thoughtful,0.58,0.22
conspicuous,0.58,0.11
fullest,0.58,0.11
budding,0.59,0.11
fertile,0.59,0.16
renowned,0.59,0.11
largest,0.59,0.17
philosophic,0.59,0.08
immense,0.59,0.23
ablest,0.6,0.15
glossy,0.6,0.2
greatest,0.6,0.19
silvery,0.6,0.17
preferable,0.6,0.49
fuller,0.6,0.18
clearer,0.6,0.22
profitable,0.6,0.27
small,0.6,0.14
regular,0.6,0.14
sturdy,0.61,0.2
stout,0.61,0.16
musical,0.61,0.15
strict,0.61,0.68
close,0.61,0.15
enthusiastic,0.61,0.13
profound,0.61,0.15
curious,0.61,0.18
admiring,0.61,0.15
competent,0.61,0.14
lofty,0.61,0.11
dramatic,0.62,0.28
poetic,0.62,0.14
suitable,0.62,0.13
artistic,0.62,0.13
explicit,0.62,0.1
skilled,0.62,0.13
