adjective,adj_count
cant,1
temple,2
evening,2
tap,1
secure,2
roomy,1
sensible,1
drinks,1
convent,1
comfort,1
mit,1
foot,1
check,1
trained,2
various,2
poor,2
third,2
terrific,2
equiped,1
impeccably,1
appreciated,1
ubicaci,1
lavish,1
flexible,1
gym,1
deco,1
quit,1
quietest,1
wonderfull,1
contemporary,2
downtown,1
flemish,1
curious,1
smiley,2
total,1
british,1
wasn,2
sorted,1
kinder,1
respectful,1
peace,1
therefor,1
make,1
february,1
ambience,1
ill,2
corner,1
accurate,1
strategic,1
present,1
type,1
furnishing,1
carefree,1
newer,1
required,2
fancy,2
extensive,2
thin,1
hang,1
blow,1
oxford,2
everyday,1
tired,1
wet,4
sister,4
rooftop,1
triple,2
pregnant,2
weird,1
guess,1
representative,1
additional,3
stained,1
painted,1
overlooked,1
following,1
heated,2
advertised,1
reddington,7
desperate,1
urgent,1
window,1
dental,1
prominent,1
clear,1
weren,3
card,1
hospitable,1
flower,1
pleasent,1
singing,1
elderly,1
iconic,1
unavailable,1
disappointment,1
receive,1
coolest,1
serviceminded,1
place,2
crazy,1
hearty,1
else,1
fifteen,1
anytime,1
closed,1
hairdryer,1
express,1
stroll,1
fussy,1
piece,2
later,1
hyde,1
concealed,1
bottled,4
quietness,1
rest,1
easier,4
particulary,1
smile,1
indian,6
affordable,1
watery,1
serious,1
gross,1
simplistic,1
neighbouring,1
presented,1
hardest,1
convoluted,1
slow,1
frustrating,1
patient,1
intrusive,1
vet,1
picky,1
sixth,1
tried,3
inferior,1
closest,1
international,3
need,2
assist,1
eat,1
strange,1
authority,1
xxxxxx,1
likeable,1
internet,1
national,2
use,1
apologetic,1
sizeable,1
brought,1
underestimated,1
longer,1
capable,1
come,2
terrible,1
adjustable,1
worst,1
avoid,2
unlimited,1
technical,1
neighboring,1
queen,1
silent,2
converted,1
tacky,1
soaked,1
copious,1
child,1
correct,1
greatest,1
upmarket,1
closer,1
pubs,1
specific,1
daylight,1
sturdy,1
above,1
lady,2
team,1
softer,1
plateful,1
cheery,1
accomplished,1
negative,1
sad,1
enthusiastic,1
earlier,1
premium,1
london,1
ear,1
gown,1
wardrobe,1
informative,2
brimful,1
legs,1
broken,2
cleaner,1
added,1
filthy,1
tough,1
extraordinary,1
found,1
star,1
lebanese,1
ride,1
emplacement,1
honest,1
smallish,1
disappointing,1
sofa,1
sharp,1
fitted,1
tina,1
fairly,1
stones,1
updated,1
overnight,2
tiled,1
enthusiasm,1
wine,1
deceptive,1
dusty,1
ham,1
vibe,1
vary,1
